PAIS,SEXO,AÑO,OBS_VALUE,OECD
Australia,Female,2020,85.3,NO
Australia,Female,2019,85,NO
Australia,Female,2018,84.9,NO
Australia,Total,2019,82.9,NO
Australia,Total,2018,82.7,NO
Australia,Total,2017,82.5,NO
Australia,Total,2016,82.4,NO
Australia,Total,2015,82.4,NO
Australia,Female,2017,84.6,NO
Australia,Female,2016,84.6,NO
Australia,Female,2015,84.5,NO
Australia,Male,2022,81.2,NO
Australia,Male,2021,81.3,NO
Australia,Male,2020,81.2,NO
Australia,Male,2019,80.9,NO
Australia,Male,2018,80.7,NO
Australia,Male,2017,80.5,NO
Australia,Male,2016,80.4,NO
Australia,Male,2015,80.4,NO
Australia,Total,2022,83.2,NO
Australia,Total,2021,83.3,NO
Australia,Total,2020,83.2,NO
Australia,Female,2022,85.3,NO
Austria,Male,2018,79.4,NO
Austria,Male,2017,79.4,NO
Austria,Male,2016,79.3,NO
Austria,Female,2019,84.2,NO
Austria,Female,2018,84.1,NO
Austria,Female,2017,84,NO
Austria,Female,2016,84.1,NO
Austria,Female,2015,83.7,NO
Austria,Male,2015,78.8,NO
Austria,Total,2023,81.6,NO
Austria,Total,2022,81.4,NO
Austria,Total,2021,81.3,NO
Austria,Total,2020,81.3,NO
Austria,Total,2019,82,NO
Austria,Total,2018,81.8,NO
Austria,Total,2017,81.7,NO
Austria,Total,2016,81.8,NO
Austria,Total,2015,81.3,NO
Austria,Female,2023,84,NO
Austria,Female,2022,83.6,NO
Austria,Female,2021,83.7,NO
Austria,Female,2020,83.6,NO
Austria,Male,2023,79.2,NO
Austria,Male,2022,79.1,NO
Austria,Male,2021,78.8,NO
Austria,Male,2020,78.9,NO
Belgium,Female,2018,83.9,NO
Belgium,Female,2017,83.9,NO
Belgium,Female,2016,84,NO
Belgium,Total,2019,82.1,NO
Belgium,Total,2018,81.7,NO
Belgium,Total,2017,81.6,NO
Belgium,Total,2016,81.5,NO
Belgium,Total,2015,81.1,NO
Belgium,Female,2015,83.4,NO
Belgium,Male,2023,80.3,NO
Belgium,Male,2022,79.7,NO
Belgium,Male,2021,79.4,NO
Belgium,Male,2020,78.5,NO
Belgium,Male,2019,79.8,NO
Belgium,Male,2018,79.4,NO
Belgium,Male,2017,79.2,NO
